drug1,drug2,SE
937,1983,11
3958,5212,11
3348,4168,11
5391,5412,12
2802,3040,12
2662,41781,12
3957,5593,12
1983,213039,12
4205,34312,12
3308,3878,12
2099,57469,12
2978,3741,12
3016,5379,12
1983,2160,12
3016,5647,12
2803,3446,12
4171,54454,12
4635,4900,12
60795,60854,12
4900,5523,12
2771,3152,12
2764,5732,12
2771,3446,12
3954,5282044,13
3639,4428,13
143,3478,13
4583,3468412,13
3478,47320,13
2806,3059,13
4513,5381,13
4894,125017,13
4178,197712,13
2949,657298,13
3333,4168,13
4666,4927,13
1302,5732,13
2585,4485,13
2156,2554,13
3883,6398970,13
3222,4178,13
3143,5544,13
3255,3345,13
3121,4634,13
3148,4419,14
4900,6398970,14
3016,4159,14
2244,5656,14
444,5402,14
2895,56339,14
5039,5572,14
2118,3446,14
4635,4885,14
4679,24011,14
3308,4449,14
2666,4900,14
1302,2022,14
2895,3826,14
2462,3958,14
2269,4583,14
5212,5656,14
1983,5538,14
2891,3639,14
206,3325,14
2118,5466,15
581,2673,15
4634,72938,15
3367,5005,15
2576,5038,15
2156,71329,15
2083,3640,15
3157,4609,15
4212,65999,15
2909,3198,15
3793,5245,15
5076,125889,15
2803,5039,15
3958,54688,15
4091,54454,15
3410,4091,15
1971,3446,15
2554,4253,15
3958,4691,15
4253,38904,15
3746,5282044,16
2678,3696,16
4585,5402,16
3365,4595,16
1065,2554,16
3658,4064,16
2907,3291,16
4601,5530,16
3062,4264,16
54454,5481350,16
4212,4253,16
3365,5234,16
3746,4168,16
2083,5719,16
4900,6691,16
4506,5073,16
3367,3405,16
3121,3365,16
1983,3002190,16
5544,83786,16
3075,5311181,17
2375,5487301,17
2771,3467,17
3911,4107,17
2662,3640,17
2585,3642,17
3488,87177,17
4585,5311297,17
1983,119182,17
2806,3158,17
3075,4158,17
3640,3652,17
2764,5076,17
2269,62924,17
3516,54688,17
3348,3823,17
2678,5512,17
3075,4819,17
4409,4679,17
2153,3937,17
853,3877,18
271,4539,18
3890,151165,18
3958,5578,18
3161,3203,18
2658,4159,18
1690,62924,18
3325,1349907,18
4583,10631,18
4091,5482,18
2022,2771,18
2666,60831,18
853,4659568,18
937,83786,18
3883,4259,18
3410,3488,18
54454,443871,18
68740,104741,18
3958,4212,18
4679,5391,18
3883,4513,19
5039,71158,19
2771,3117,19
5029,1349907,19
3961,4451,19
3365,65999,19
1690,2284,19
2771,443871,19
2284,4819,19
3143,119607,19
2153,2658,19
2269,4595,19
5152,5311297,19
3639,5512,19
4635,4666,19
54688,68740,19
772,5391,19
5039,68740,19
2269,60831,19
2650,3385,19
4583,122316,20
4583,163742,20
3883,3899,20
2520,1349907,20
5487,170361,20
4158,5523,20
2764,163742,20
2462,5376,20
4889,125889,20
4158,36811,20
2771,60795,20
3672,4679,20
2895,4044,20
2764,3826,20
444,5487,20
2118,2576,20
4171,5523,20
4873,6691,20
4946,5029,20
4112,6691,20
2802,150310,21
772,2891,21
3937,3002190,21
3350,5493381,21
2284,4034,21
2083,60877,21
3672,5210,21
4894,60184,21
5002,444013,21
59708,6398970,21
2585,3962,21
3161,5533,21
3348,87177,21
2756,5064,21
3348,5372,21
5212,87177,21
3869,4691,21
3937,5645,21
1302,160051,21
3042,4583,21
1983,4819,22
3348,12620,22
4594,51634,22
5212,60852,22
2083,4200,22
3108,3373,22
2083,3928,22
5401,123606,22
596,2978,22
1302,3780,22
2585,4679,22
271,5656,22
853,4183806,22
2585,3958,22
853,4168,22
1983,3446,22
3405,5095,22
2083,5481350,22
3365,4679,22
3365,3419,22
2308,2720,23
1117,1775,23
3016,4158,23
3152,5732,23
2250,16231,23
3672,5732,23
3676,3914,23
2771,3562,23
2756,4539,23
3883,4601,23
2802,3883,23
4594,152945,23
2520,3440,23
4932,54454,23
2678,5038,23
3883,4173,23
2802,5064,23
3222,4679,23
4159,4691,23
1065,5732,23
2375,130881,24
4679,5076,24
3121,4159,24
2771,4449,24
853,12536,24
2118,5070,24
3042,60795,24
598,2656,24
4829,4659568,24
3062,119182,24
838,3348,24
4547,4583,24
3702,4679,24
2662,123620,24
4943,5523,24
3325,3961,24
2118,2477,24
2764,4740,24
2474,2541,24
2162,110635,24
159,3467,25
1983,2786,25
3324,104741,25
3043,3780,25
3899,5408,25
3823,4506,25
3476,4189,25
2764,4645,25
3823,197712,25
3702,4536,25
2550,3883,25
3640,6398525,25
6691,57537,25
2812,3325,25
5656,160051,25
4168,4173,25
3016,3393,25
2818,2891,25
4691,54786,25
3958,62924,25
54454,57469,26
4583,4679,26
3478,54841,26
3043,4440,26
2806,4539,26
2541,3403,26
1302,5379,26
2088,4428,26
2585,5656,26
1775,4594,26
3032,3397,26
4594,4829,26
2771,3957,26
1775,4691,26
3454,4894,26
2554,5029,26
3676,5514,26
2083,5064,26
2512,3152,26
3961,5267,26
2162,2522,27
2656,5282044,27
2142,2370,27
3454,16231,27
2803,3348,27
3899,42113,27
3032,5206,27
2088,3381,27
2806,3957,27
1983,16231,27
2955,3454,27
4873,5152,27
3003,5732,27
2955,5291,27
2471,3476,27
5402,5544,27
2771,3883,27
2656,4052,27
2650,3222,27
3478,4547,27
2662,4485,28
2678,4834,28
2088,2232,28
3062,4046,28
2250,4509,28
853,77999,28
4900,4909,28
2405,60854,28
2662,3639,28
5645,176870,28
3161,5203,28
3961,83786,28
4173,4583,28
3062,5650,28
5005,3085017,28
2803,4091,28
4829,4889,28
2083,2678,28
2022,2955,28
2269,3516,28
2083,5578,29
4873,4659568,29
3222,115237,29
450,5206,29
3032,5408,29
2771,60852,29
3157,3784,29
2803,6918453,29
3440,5650,29
2806,4463,29
2771,3746,29
1983,4159,29
3339,4510,29
2662,4510,29
5039,5203,29
3158,4583,29
1983,2764,29
2803,3348,29
3348,4168,29
4171,5512,29
4917,5311297,30
2678,4894,30
3255,5426,30
2662,12620,30
4159,5206,30
3446,13342,30
2550,154059,30
5732,122316,30
3075,5672,30
4599,4812,30
4485,4917,30
3958,216239,30
3386,5152,30
2083,3440,30
60184,77999,30
4411,4691,30
5408,64147,30
4583,5253,30
2269,87177,30
2244,5005,30
3222,444013,31
3488,48175,31
4873,3085017,31
4595,71273,31
2812,5311297,31
3559,3690,31
2022,3308,31
3222,5453,31
2088,3652,31
3878,3002190,31
83786,150311,31
3003,5544,31
2462,5732,31
3419,4679,31
942,3345,31
3715,4168,31
60795,65999,31
2802,4594,31
2678,5735,31
3143,119607,31
3883,5735,32
4900,150310,32
3639,508230,32
5029,153941,32
3158,19090,32
1302,3510,32
2477,5391,32
2554,3348,32
2806,5593,32
3937,5311039,32
2249,3878,32
2153,4873,32
3393,4691,32
2806,4900,32
3440,68844,32
2088,4691,32
4873,4900,32
4829,125889,32
2083,4253,32
4583,5523,32
3345,4599,33
3403,4112,33
5038,51634,33
2806,3114,33
3478,176870,33
3249,4510,33
2771,5453,33
772,2712,33
3784,47320,33
4253,4473,33
4873,5408,33
3249,4917,33
3310,3954,33
2550,2806,33
3954,4091,33
5038,5408,33
3661,3958,33
4112,5203,33
2806,4510,33
3661,5656,33
6691,153941,34
3793,170361,34
2171,4893,34
4873,115237,34
5645,47320,34
4583,47320,34
2806,4635,34
2142,2160,34
3467,4834,34
5005,213039,34
1983,4614,34
1302,24486,34
3305,65999,34
2250,3780,34
2088,2617,34
2554,5391,34
2249,5267,34
2764,4200,34
2895,12536,34
3386,104865,34
853,3661,35
4889,5717,35
4409,667490,35
3749,3793,35
853,104865,35
2118,4192,35
4168,4497,35
2662,4828,35
5732,5381226,35
450,4993,35
3075,4889,35
450,2250,35
5064,5358,35
3902,4691,35
4034,5311297,35
3890,5391,35
5155,5647,35
3780,4543,35
4594,34312,35
2308,4052,35
5472,5719,36
3793,4178,36
3826,216239,36
4112,5078,36
60835,123631,36
3957,123631,36
4058,5732,36
3639,5505,36
2244,3003,36
5152,5584,36
1117,4666,36
4409,4740,36
2666,4829,36
34312,104865,36
3345,3348,36
3152,5734,36
4173,5466,36
3121,5038,36
3676,150311,36
5039,6398525,36
4054,130881,37
2806,57537,37
3826,5078,37
4873,8953,37
3780,4911,37
4873,3086258,37
853,3440,37
3308,3661,37
3350,60843,37
3032,34312,37
3152,3446,37
2764,4634,37
4168,4691,37
3883,4513,37
3222,5203,37
2477,2771,37
2118,4510,37
2083,2541,37
3937,4205,37
2520,3639,37
2806,4428,38
2764,4052,38
3365,150311,38
2477,60184,38
581,772,38
3467,5311181,38
5090,91270,38
1983,4599,38
3446,3676,38
4635,151165,38
19090,68740,38
5203,5376,38
2666,3961,38
2435,77999,38
3962,5732,38
2160,5038,38
2171,4583,38
453,2806,38
4873,5039,38
3016,54688,38
2554,5381,39
853,2519,39
853,3734,39
3152,5035,39
2524,125889,39
3696,12536,39
1983,5311027,39
2554,5473385,39
450,5381,39
2311,2474,39
772,5732,39
450,5352,39
3325,3957,39
3075,4594,39
3405,27661,39
4889,5512,39
3883,8953,39
3152,3958,39
2462,2678,39
2554,170361,39
5556,77999,40
3222,4679,40
4873,5472,40
6691,145068,40
2802,3117,40
5035,124087,40
2308,4411,40
2818,3957,40
3672,1349907,40
2662,154059,40
2656,5732,40
3559,3696,40
2622,3929,40
5203,154059,40
3345,5329102,40
4054,3468412,40
2142,4253,40
2249,41781,40
3877,4205,40
3958,130881,40
3410,71273,41
5732,5282226,41
2088,1349907,41
2749,4052,41
2284,4845,41
3639,72054,41
2083,4205,41
4674,4740,41
3016,48175,41
3016,4913,41
2554,3559,41
4091,6691,41
3826,123620,41
2576,5732,41
4691,5029,41
2476,60835,41
4594,5035,41
3883,4205,41
4845,5311297,41
937,62924,41
444,60843,42
4585,5210,42
3559,6398970,42
3365,3488,42
3157,4054,42
581,444013,42
1983,3345,42
5651,5311181,42
2118,4173,42
3883,60754,42
2284,5267,42
2118,2662,42
5732,119607,42
2022,2895,42
4171,10631,42
2083,2656,42
2160,10631,42
5212,119607,42
4889,119607,42
2474,2554,42
4058,110635,43
2764,5381,43
5523,147912,43
3878,5656,43
3639,5402,43
3672,4829,43
444,2637,43
4585,14888,43
3883,4834,43
3488,41781,43
4927,5732,43
2678,5212,43
444,60835,43
4900,5029,43
4091,83786,43
2477,4679,43
3957,124087,43
3062,3345,43
2171,124087,43
4253,5650,43
3345,4740,44
5002,5505,44
4594,14888,44
3672,4195,44
3032,56959,44
4595,5731,44
444,87177,44
2662,3734,44
5656,57537,44
2818,4192,44
4594,5212,44
2806,4946,44
4679,5029,44
772,5090,44
3639,5090,44
2462,5234,44
4873,4900,44
3410,4159,44
1983,4900,44
4510,5039,44
3305,5645,45
3672,60831,45
4585,160051,45
271,3746,45
4691,5040,45
853,2720,45
2022,5297,45
5426,54808,45
2022,3403,45
3121,4112,45
3203,4463,45
3883,4091,45
3032,3639,45
853,3961,45
1983,2153,45
1046,4159,45
2678,5090,45
3883,5394,45
1302,2656,45
1690,3365,45
2249,3937,46
4509,14888,46
5002,124087,46
3016,197712,46
3958,152945,46
853,3440,46
2249,3749,46
2771,4138,46
4236,71329,46
3016,5481350,46
3016,5090,46
4112,5203,46
2806,5732,46
596,5029,46
3648,60147,46
2662,3348,46
5735,59708,46
3016,5487301,46
2576,3446,46
4159,5203,46
1065,5746,47
2812,4736,47
2650,4419,47
5731,9571074,47
3652,176870,47
2662,64147,47
3305,667490,47
2118,3310,47
937,60198,47
3672,5184,47
2541,2662,47
3032,3348,47
3957,5732,47
3937,71616,47
3042,3488,47
2818,3559,47
3476,5038,47
3476,5090,47
3652,4585,47
3488,4543,47
2662,3373,48
2520,36811,48
3365,150610,48
2576,4723,48
3308,54808,48
3143,3348,48
4449,72054,48
3488,54786,48
5038,5362070,48
2250,4200,48
2244,4091,48
2895,3255,48
3279,3958,48
3386,3715,48
2662,5651,48
2375,2662,48
3440,60865,48
2130,2250,48
1983,4616,48
2269,4889,48
4052,5281007,49
3324,3410,49
2764,657298,49
3676,5394,49
444,4740,49
3488,5482,49
2585,74989,49
4205,56959,49
937,4536,49
5064,5593,49
3440,60871,49
5426,5544,49
564,3957,49
772,5493381,49
3043,4091,49
3869,4058,49
2249,60198,49
1302,2083,49
2666,3419,49
5466,5732,49
4205,5245,50
2658,3379,50
2806,4999,50
2269,2818,50
4920,152945,50
3937,5735,50
937,60795,50
2022,5372,50
3255,4449,50
1065,3394,50
3152,4635,50
3161,3365,50
5203,60852,50
942,3379,50
450,123620,50
4585,27661,50
4873,10631,50
3154,68740,50
3158,5732,50
3003,5078,50
3639,60843,51
2806,68844,51
4107,4609,51
3937,5584,51
3075,4140,51
5038,5478,51
853,3468412,51
2153,3261,51
3715,47320,51
2895,71329,51
2244,5210,51
2771,657298,51
2909,3440,51
2550,3032,51
2909,5039,51
3075,27661,51
3937,4510,51
444,3345,51
5038,150311,51
4091,4946,51
3961,6436173,52
156419,5473385,52
1983,2519,52
1302,3763,52
3161,5523,52
3937,5311297,52
3032,3929,52
1983,667490,52
2162,5656,52
937,4675,52
1302,4594,52
2249,4058,52
4510,4594,52
4058,5523,52
4594,5090,52
8953,3085017,52
4635,10631,52
4900,5311048,52
2244,5487,52
3157,3639,52
2088,38904,53
450,82146,53
4168,152945,53
3658,4889,53
4889,5077,53
2550,6398525,53
4112,151165,53
3446,5719,53
3386,5525,53
3937,5210,53
5650,54454,53
3883,83786,53
3658,4594,53
3365,3883,53
5544,119607,53
4614,4856,53
2022,2244,53
2088,2550,53
3365,4583,53
3405,4543,53
2749,56339,54
3446,60854,54
3784,5234,54
3715,5291,54
2666,24486,54
4463,4603,54
1065,2951,54
3222,5372,54
3961,47320,54
2269,163742,54
3324,5311297,54
3203,4463,54
4171,27686,54
4691,5245,54
2764,5379,54
838,5245,54
3405,3869,54
2250,5533,54
3003,5533,54
1983,5391,54
2088,2462,55
2477,5253,55
3937,6447131,55
3937,56959,55
60147,5493381,55
4583,5253,55
3640,5735,55
3937,131536,55
3957,12620,55
2771,10631,55
2771,3883,55
3345,4691,55
5039,5391,55
1983,83786,55
2656,3883,55
2803,3648,55
853,5090,55
4485,5039,55
2541,3825,55
2802,3081884,55
2083,5401,56
3339,3410,56
2118,508230,56
3454,3780,56
3325,5195,56
2265,2349,56
3325,5379,56
3075,151165,56
1775,3730,56
2909,3040,56
1983,2462,56
2244,5372,56
838,3658,56
2666,5234,56
3405,3793,56
5029,6398970,56
3345,5291,56
6691,5281104,56
3869,5651,56
1302,5523,56
1972,3255,57
2622,12536,57
2907,3410,57
2162,5311039,57
3454,3928,57
4253,5472,57
4510,5651,57
3784,4607,57
3405,4603,57
3440,4138,57
3345,3440,57
3121,4253,57
4173,5453,57
1775,2802,57
4943,147912,57
4900,5651,57
2142,2650,57
2265,4894,57
1117,3958,57
2250,4189,57
2803,4212,58
4411,5650,58
1983,74989,58
3746,4425,58
4264,5735,58
3003,4451,58
3958,71158,58
3826,5466,58
3877,60871,58
5029,5746,58
2520,62924,58
5656,216326,58
2803,28112,58
4829,5732,58
3158,5078,58
596,1972,58
62924,5281104,58
4170,4634,58
4599,60831,58
2909,3075,58
2524,4264,59
4679,148211,59
853,68740,59
2088,2973,59
3143,5472,59
2249,2719,59
3333,27661,59
3143,4485,59
3961,667490,59
853,3043,59
2802,5245,59
2249,4236,59
2088,3937,59
2088,62924,59
2806,4679,59
4171,6691,59
5077,4659568,59
2662,2806,59
853,2806,59
4691,5533,59
3676,5052,60
2477,216239,60
2662,5311082,60
2118,5311039,60
2160,3780,60
4635,4736,60
3386,4748,60
3032,4723,60
2462,3750,60
2646,3962,60
3640,62924,60
4075,54688,60
2666,5656,60
1690,3902,60
3957,4168,60
4091,4499,60
4095,4171,60
3325,4475485,60
2130,3121,60
4034,4829,60
4112,170361,61
4112,5493444,61
2895,3003,61
838,5408,61
4168,59708,61
3157,4829,61
4819,5651,61
4091,4829,61
3746,3899,61
4236,64147,61
3121,4158,61
3222,4173,61
2541,5732,61
2909,4595,61
3467,87177,61
2083,3333,61
4543,5029,61
1983,3032,61
3016,3958,61
3648,4917,61
4170,72054,62
3365,3734,62
3746,5721,62
2083,3386,62
3350,4201,62
3161,4675,62
4171,5402,62
3516,3657,62
5039,5195,62
3308,41693,62
3348,60953,62
4236,5391,62
3062,3883,62
4943,5732,62
3954,4691,62
4889,119607,62
2022,2471,62
4091,4259,62
4635,4740,62
4058,62924,62
5402,59708,63
3954,72938,63
2806,3869,63
2771,123631,63
3463,3902,63
2162,39860,63
2160,27686,63
2118,60831,63
3333,115237,63
2171,54547,63
3386,62924,63
2895,3003,63
1065,2678,63
3937,110635,63
3672,4091,63
2764,4409,63
2171,5090,63
3222,3883,63
2576,5038,63
2666,3672,63
2678,3161,64
5005,3062316,64
2249,3468412,64
191,3749,64
3008,4170,64
3648,4171,64
3075,170361,64
5379,1349907,64
3333,4539,64
2955,5035,64
3954,27661,64
3883,4873,64
3958,5379,64
1983,2554,64
5426,5650,64
5039,5212,64
2666,6691,64
4259,4894,64
3062,5496,64
3339,3350,64
2156,2462,65
54841,115237,65
1983,83786,65
2678,4828,65
937,5584,65
3203,3384,65
2250,60147,65
4173,5466,65
2658,4046,65
3405,110634,65
1065,3958,65
2462,3715,65
3658,5090,65
3410,3516,65
2656,3937,65
3152,4583,65
3962,5650,65
3780,5732,65
3639,3696,65
3958,60147,65
3902,5493444,66
4594,72054,66
143,937,66
2162,163742,66
3890,5717,66
2756,77993,66
176168,4183806,66
60831,123631,66
3339,4812,66
2244,3382,66
4173,4583,66
2812,93860,66
4927,5514,66
143,3310,66
4171,4900,66
4583,77999,66
5038,5267,66
3958,170361,66
1302,4510,66
2250,3255,66
3121,5281104,67
3075,4159,67
4900,5721,67
3348,3379,67
3324,3419,67
5391,41774,67
3639,5311039,67
2244,2524,67
3652,3658,67
2662,60198,67
2802,5717,67
4614,4946,67
2462,5544,67
2895,3958,67
2541,4674,67
123620,124087,67
2662,3958,67
2171,3488,67
853,5512,67
4679,5073,67
4609,148211,68
3161,36339,68
2678,6918453,68
2244,153941,68
2554,4645,68
2662,4473,68
3161,40976,68
2267,5593,68
3198,3877,68
5352,54786,68
3640,60835,68
2250,4674,68
1302,2267,68
2405,3032,68
4112,9052,68
3658,62924,68
2083,504578,68
2576,2771,68
3672,5656,68
3350,3516,68
3367,4889,69
2786,5523,69
3467,4856,69
2617,3419,69
3143,12620,69
3639,5005,69
4159,145068,69
2520,4723,69
2249,2662,69
4168,4748,69
2462,2662,69
2622,3746,69
3310,4594,69
2471,77999,69
3325,4634,69
5073,5514,69
2520,4889,69
3454,3793,69
3121,4946,69
2550,2771,69
772,2551,70
4171,51634,70
853,2019,70
5496,82146,70
4679,5329102,70
2666,5746,70
3255,4170,70
3957,5596,70
3767,110635,70
772,3784,70
3476,5090,70
4440,5064,70
3016,4075,70
3003,3823,70
206,5039,70
2622,5732,70
3345,123631,70
3279,5155,70
2666,3648,70
3348,3467,70
4171,4946,71
3899,5078,71
4253,4946,71
62924,68740,71
2771,4829,71
2658,3393,71
772,2476,71
3016,60865,71
6691,60787,71
2658,3690,71
2678,123620,71
2160,2662,71
5090,5391,71
2477,3878,71
853,5717,71
3222,5651,71
2658,3883,71
853,2786,71
2083,5732,71
5672,123631,71
1302,5376,72
3003,4748,72
3937,4666,72
3958,104741,72
772,4140,72
4510,5593,72
2171,156419,72
3032,4845,72
937,77999,72
937,4659569,72
3672,3746,72
937,54454,72
4856,4889,72
3075,5090,72
2244,123631,72
3672,4856,72
3032,5311297,72
772,3003,72
2171,4856,72
4856,5039,72
3075,5656,73
2250,3397,73
2666,4200,73
2269,5311027,73
2806,3008,73
1302,3393,73
3672,4046,73
1117,47725,73
3937,119607,73
3108,5362070,73
3003,19090,73
3325,3478,73
937,3478,73
2250,4635,73
3954,5038,73
2666,3405,73
2891,62924,73
4583,5478,73
2666,2771,73
3672,5379,73
5358,5412,74
4159,4173,74
3121,4542,74
444,3675,74
4171,5408,74
5645,125889,74
2162,2522,74
861,4475485,74
2786,5472,74
4595,65999,74
4927,54454,74
2891,4594,74
4107,4583,74
1972,4173,74
1983,87177,74
4812,5329102,74
4168,5329102,74
3158,150311,74
5203,54454,74
4585,443871,74
3937,4052,75
4829,60198,75
450,6398525,75
2895,16231,75
3325,4259,75
5656,60787,75
2249,2474,75
2895,104865,75
3658,150610,75
2609,5095,75
2477,10631,75
2576,5090,75
4173,4635,75
2666,5095,75
2171,5073,75
3062,5073,75
5514,125889,75
3746,4583,75
2171,4107,75
3957,60147,75
4900,74989,76
206,2153,76
1117,3308,76
2909,54374,76
1983,3825,76
1983,6691,76
2806,5482,76
2771,10631,76
2585,54374,76
3883,5496,76
1117,3440,76
3440,3661,76
4873,5651,76
3350,60147,76
2550,4539,76
3883,5650,76
3958,5267,76
1983,2818,76
2909,3386,76
5650,3468412,76
4583,71273,77
444,16231,77
2895,3962,77
4112,4428,77
3158,5505,77
3639,122316,77
54454,5493444,77
942,4812,77
2803,6436173,77
1302,3325,77
4873,5090,77
3658,125889,77
2083,2771,77
3152,3419,77
5152,54688,77
3449,3937,77
3016,3883,77
2806,4583,77
1775,5039,77
2520,3937,77
1302,5401,78
2118,4829,78
2666,667490,78
2118,6398970,78
1117,4428,78
4585,4991,78
3676,4200,78
3478,54454,78
3075,42113,78
4594,5155,78
444,4583,78
4168,4595,78
3446,5556,78
3672,5038,78
444,28112,78
3446,3639,78
3003,32797,78
3075,5203,78
5514,170361,78
853,3075,78
3883,504578,79
1971,5978,79
3446,5538,79
3333,3911,79
2678,3372,79
4889,54841,79
3255,5038,79
4585,5245,79
1302,5076,79
2250,5726,79
2666,123606,79
2678,4900,79
853,2187,79
5647,32797,79
5656,68740,79
3446,5076,79
4634,4691,79
3325,4594,79
2585,3075,79
3958,4666,79
3121,4091,80
6691,5481350,80
1775,54808,80
3324,3382,80
2806,3715,80
3405,4212,80
3152,4212,80
5379,24486,80
4691,87177,80
3007,153941,80
2666,3478,80
34312,150311,80
2764,5379,80
3883,5212,80
444,4691,80
3746,4845,80
2678,5234,80
2083,3158,80
3661,3672,80
3003,3648,80
3333,65027,81
3325,197712,81
4666,5412,81
4873,657298,81
1302,3002190,81
2907,154059,81
4259,5195,81
2171,153941,81
4205,4889,81
444,56339,81
5245,5311297,81
5735,28112,81
5039,5376,81
1302,4679,81
2622,5544,81
4107,4635,81
3461,4900,81
54454,216239,81
2478,3414,81
3640,5311048,81
2311,77999,82
4585,170361,82
2265,5401,82
2083,4479097,82
5152,60854,82
772,4911,82
3958,5311082,82
4991,148192,82
1690,3690,82
838,4463,82
2524,2909,82
2764,4159,82
3672,4075,82
2435,3826,82
4900,5391,82
2895,3446,82
3386,4513,82
2802,3890,82
3121,5578,82
2118,4091,82
2576,216326,83
6691,5329102,83
4253,60612,83
1983,59708,83
4894,5481350,83
3365,216239,83
4674,4909,83
3345,4107,83
2771,41317,83
3339,3690,83
1302,2462,83
2232,2244,83
2524,3062,83
4585,4679,83
4595,77999,83
54688,6398525,83
2520,5514,83
3478,152945,83
2541,125889,83
2578,4053,83
4171,4607,84
3883,4510,84
3793,5073,84
2308,14888,84
3877,5978,84
1302,4999,84
2907,4674,84
2662,4158,84
5077,5735,84
3339,3414,84
2541,5203,84
2678,3476,84
444,942,84
2265,4485,84
4168,4691,84
3476,62924,84
5523,5533,84
5029,5514,84
3957,4900,84
271,5650,84
2576,60953,85
596,3784,85
2171,54688,85
1775,4609,85
3405,4170,85
4585,68844,85
4691,5038,85
3883,60854,85
3405,5515,85
2786,41774,85
2978,3639,85
3310,4585,85
59708,60795,85
3345,3446,85
2171,4510,85
853,4168,85
2622,119182,85
4594,4595,85
2955,5651,85
3365,5647,85
2818,5746,86
2083,4946,86
3161,3957,86
4158,4411,86
4236,4723,86
5401,3062316,86
4927,51634,86
2554,3749,86
2477,4913,86
2895,2978,86
2477,3161,86
3419,28112,86
2895,4691,86
4594,5078,86
4170,4594,86
4594,5538,86
3148,4058,86
4691,60854,86
2576,5203,86
3937,4034,86
3657,3961,87
1302,2713,87
4052,5596,87
2764,2951,87
2622,3385,87
143,153941,87
3883,5878,87
444,4909,87
